KAZ5,KAZ5-0078,KAZ5-0078,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
KAZ6,KAZ6-0079,KAZ6-0079,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
KAZ7,KAZ7-0080,KAZ7-0080,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
KE1,KE1-0081,KE1-0081,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
KIR2,KIR2-0082,KIR2-0082,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
KITA1,KITA1-0083,KITA1-0083,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
KITA2,KITA2-0084,KITA2-0084,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LAND1,LAND1-0085,LAND1-0085,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LC1,LC1-0086,LC1-0086,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LDCAN1,LDCAN1-0087,LDCAN1-0087,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LDCAN2,LDCAN2-0088,LDCAN2-0088,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LMA1,LMA1-0089,LMA1-0089,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LNZ1,LNZ1-0090,LNZ1-0090,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LPIO25,LPIO25-0091,LPIO25-0091,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LPNB1,LPNB1-0092,LPNB1-0092,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LUBL1,LUBL1-0093,LUBL1-0093,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LUBL2,LUBL2-0094,LUBL2-0094,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LUC1,LUC1-0095,LUC1-0095,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LUIO1,LUIO1-0096,LUIO1-0096,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LUMT1,LUMT1-0097,LUMT1-0097,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LUMT11,LUMT11-0098,LUMT11-0098,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LUMT2,LUMT2-0099,LUMT2-0099,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LUMT3,LUMT3-0100,LUMT3-0100,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LUMT4,LUMT4-0101,LUMT4-0101,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LUND1,LUND1-0102,LUND1-0102,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LUND2,LUND2-0103,LUND2-0103,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LUND3,LUND3-0104,LUND3-0104,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LUOR1,LUOR1-0105,LUOR1-0105,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
LUOR2,LUOR2-0106,LUOR2-0106,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
MO1,MO1-0107,MO1-0107,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
MT1,MT1-0108,MT1-0108,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
MTR1,MTR1-0109,MTR1-0109,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
NADW1,NADW1-0110,NADW1-0110,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
NAZ1,NAZ1-0111,NAZ1-0111,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
