Run,BioSample,LibraryName,refGenome,refPath
SRR1946316,SAMN03327160,SAMN03327160,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946317,SAMN03327161,SAMN03327161,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946318,SAMN03327162,SAMN03327162,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946319,SAMN03327163,SAMN03327163,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946320,SAMN03327164,SAMN03327164,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946321,SAMN03327165,SAMN03327165,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946322,SAMN03327166,SAMN03327166,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946323,SAMN03327167,SAMN03327167,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946324,SAMN03327168,SAMN03327168,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946325,SAMN03327169,SAMN03327169,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946326,SAMN03327170,SAMN03327170,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946327,SAMN03327171,SAMN03327171,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946328,SAMN03327172,SAMN03327172,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946329,SAMN03327173,SAMN03327173,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946330,SAMN03327174,SAMN03327174,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946331,SAMN03327175,SAMN03327175,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946332,SAMN03327176,SAMN03327176,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946333,SAMN03327177,SAMN03327177,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946334,SAMN03327178,SAMN03327178,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946335,SAMN03327179,SAMN03327179,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946336,SAMN03327180,SAMN03327180,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946337,SAMN03327181,SAMN03327181,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946338,SAMN03327182,SAMN03327182,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946339,SAMN03327183,SAMN03327183,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
